дата,tвнеш,Q_√кал,tподающ,tвнутр
2024-01-08 19,-21,0.5,27.0,17.0
2024-01-08 20,-22,0.5,27.0,16.2
2024-01-08 21,-22,0.5,27.0,15.4
2024-01-08 22,-21,3.94,84.0,14.6
2024-01-08 23,-22,4.12,86.0,14.6
2024-01-09 00,-22,4.13,86.0,14.6
2024-01-09 01,-23,4.23,88.0,14.6
2024-01-09 02,-23,4.23,88.0,14.6
2024-01-09 03,-22,4.67,94.0,14.6
2024-01-09 04,-22,6.34,117.0,14.7
2024-01-09 05,-22,6.34,117.0,15.2
2024-01-09 06,-21,6.34,117.0,15.7
2024-01-09 07,-21,6.34,114.0,16.2
2024-01-09 08,-20,4.19,86.0,16.7
2024-01-09 09,-19,4.13,85.0,16.7
2024-01-09 10,-17,3.97,83.0,16.7
2024-01-09 11,-17,3.95,82.0,16.7
2024-01-09 12,-17,3.96,82.0,16.7
2024-01-09 13,-19,4.07,84.0,16.7
2024-01-09 14,-21,4.27,87.0,16.7
2024-01-09 15,-18,4.02,83.0,16.7
2024-01-09 16,-19,4.12,85.0,16.7
2024-01-09 17,-22,4.27,87.0,16.7
2024-01-09 18,-23,4.38,88.0,16.7
