Date,Tinside,Toutside,Toutside2,W,Hd,Cl,Ttarget_current,Ttarget_next,Theat,Reward,Tinside_n,Toutside_n,Toutside_n2,W_n,Hd_n,Cl_n,Ttarget_current_n,Ttarget_next_n
23.03.24 16:00,17.5,5.0,6.0,4.0,0.83,0.97,22,20,75.8,-7.9,14.1,8.0,9.0,2.0,0.48,0.84,22.0,22.0
26.03.24 12:00,14.1,8.0,9.0,2.0,0.48,0.84,22,22,85.0,-4.199999999999999,17.8,8.0,9.0,2.0,0.48,0.84,22.0,22.0
26.03.24 12:00,17.8,8.0,9.0,2.0,0.48,0.84,22,22,85.0,-0.8000000000000007,21.2,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.2,8.0,8.0,3.0,0.44,0.58,22,22,47.9,-0.5,21.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.5,8.0,8.0,3.0,0.44,0.58,22,22,42.7,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-5.0,27.0,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,27.0,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-4.300000000000001,26.3,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,26.3,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-3.6999999999999993,25.7,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,25.7,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-3.1000000000000014,25.1,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,25.1,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-2.5,24.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,24.5,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-2.0,24.0,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,24.0,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-1.5,23.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,23.5,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-1.0,23.0,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,23.0,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-0.6000000000000014,22.6,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,22.6,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-0.1999999999999993,22.2,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,22.2,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-0.1999999999999993,21.8,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.8,8.0,8.0,3.0,0.44,0.58,22,22,40.4,-0.5,21.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.5,8.0,8.0,3.0,0.44,0.58,22,22,42.7,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-10.7,11.3,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,11.3,8.0,8.0,3.0,0.44,0.58,22,22,85.0,-7.0,15.0,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,15.0,8.0,8.0,3.0,0.44,0.58,22,22,85.0,-3.5,18.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,18.5,8.0,8.0,3.0,0.44,0.58,22,22,85.0,-0.1999999999999993,21.8,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.8,8.0,8.0,3.0,0.44,0.58,22,22,40.4,-0.5,21.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.5,8.0,8.0,3.0,0.44,0.58,22,22,42.7,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-1.6999999999999993,20.3,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,20.3,8.0,8.0,3.0,0.44,0.58,22,22,71.9,-0.5,22.5,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,22.5,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-0.1000000000000014,22.1,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,22.1,8.0,8.0,3.0,0.44,0.58,22,22,40.0,-0.3000000000000007,21.7,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.7,8.0,8.0,3.0,0.44,0.58,22,22,40.9,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
26.03.24 13:00,21.4,8.0,8.0,3.0,0.44,0.58,22,22,44.1,-0.6000000000000014,21.4,8.0,8.0,3.0,0.44,0.58,22.0,22.0
