дата,tвнеш,Q_√кал,tподающ,tвнутр
2023-04-06 11,13,0.5,28.0,17.0
2023-04-06 12,13,0.5,28.0,17.0
2023-04-06 13,12,0.5,28.0,17.0
2023-04-06 14,11,0.5,28.0,17.0
2023-04-06 15,10,0.5,28.0,17.0
2023-04-06 16,8,0.5,28.0,16.9
2023-04-06 17,7,0.5,28.0,16.8
2023-04-06 18,7,0.5,28.0,16.7
2023-04-06 19,5,0.5,27.0,16.6
2023-04-06 20,4,0.5,27.0,16.4
2023-04-06 21,4,0.5,27.0,16.2
2023-04-06 22,2,0.5,27.0,16.0
2023-04-06 23,1,0.5,27.0,15.8
2023-04-07 00,-1,0.5,27.0,15.5
2023-04-07 01,-2,0.5,27.0,15.2
2023-04-07 02,-3,0.5,27.0,14.9
2023-04-07 03,-4,0.5,27.0,14.6
2023-04-07 04,-5,3.86,82.0,14.2
2023-04-07 05,-5,4.21,88.0,14.6
2023-04-07 06,-4,4.03,85.0,15.0
2023-04-07 07,-2,3.65,78.0,15.4
2023-04-07 08,0,1.68,49.0,15.8
2023-04-07 09,1,1.61,48.0,15.8
2023-04-07 10,3,1.46,45.0,15.8
